"id","active","ano_id/id","marca_id/id","modelo_id/id","name","motor_productos/id","tipo_id/id"
"__export__.catalogo_motor_vehiculo_4365","True","__export__.catalogo_ano_vehiculo_3950","__export__.catalogo_marca_vehiculo_687","__export__.catalogo_modelo_vehiculo_1818","10.8LTS 440CV DXi11","__export__.product_template_9482,__export__.product_template_9704,__export__.product_template_16906,__export__.product_template_9023,__export__.product_template_10712","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_4271","True","__export__.catalogo_ano_vehiculo_3834","__export__.catalogo_marca_vehiculo_848","__export__.catalogo_modelo_vehiculo_1740","1095 2.2 TON. CABINA SENCILLA","__export__.product_template_9783,__export__.product_template_9013,__export__.product_template_24242,__export__.product_template_8044","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_3817","True","__export__.catalogo_ano_vehiculo_3450","__export__.catalogo_marca_vehiculo_865","__export__.catalogo_modelo_vehiculo_1714","1.0 LTS","__export__.product_template_17129,__export__.product_template_11648,__export__.product_template_9367,__export__.product_template_24618,__export__.product_template_27636,__export__.product_template_16826","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4199","True","__export__.catalogo_ano_vehiculo_3806","__export__.catalogo_marca_vehiculo_611","__export__.catalogo_modelo_vehiculo_1721","1.0 LTS","__export__.product_template_12094,__export__.product_template_10879,__export__.product_template_9326,__export__.product_template_24620,__export__.product_template_10885","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_3971","True","__export__.catalogo_ano_vehiculo_3597","__export__.catalogo_marca_vehiculo_616","__export__.catalogo_modelo_vehiculo_1892","1.0 LTS 4 CIL 8Valv","__export__.product_template_24618,__export__.product_template_16759,__export__.product_template_24633,__export__.product_template_10911,__export__.product_template_9367,__export__.product_template_10977,__export__.product_template_24188,__export__.product_template_16792,__export__.product_template_27638,__export__.product_template_9179","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4628","True","__export__.catalogo_ano_vehiculo_4153","__export__.catalogo_marca_vehiculo_626","__export__.catalogo_modelo_vehiculo_1879","1.0 Y 1.2 LTS","__export__.product_template_9326,__export__.product_template_24631,__export__.product_template_24620,__export__.product_template_24223","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4499","True","__export__.catalogo_ano_vehiculo_4039","__export__.catalogo_marca_vehiculo_626","__export__.catalogo_modelo_vehiculo_1879","1.0 Y 1.2 LTS","__export__.product_template_34029,__export__.product_template_12094,__export__.product_template_16748,__export__.product_template_10901,__export__.product_template_9326,__export__.product_template_24620,__export__.product_template_10885","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4216","True","__export__.catalogo_ano_vehiculo_3806","__export__.catalogo_marca_vehiculo_611","__export__.catalogo_modelo_vehiculo_1721","1.100 CC","__export__.product_template_11031","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_4290","True","__export__.catalogo_ano_vehiculo_3879","__export__.catalogo_marca_vehiculo_611","__export__.catalogo_modelo_vehiculo_1721","1.100 C.C.","__export__.product_template_12094,__export__.product_template_10887,__export__.product_template_9327,__export__.product_template_24616,__export__.product_template_10885","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_3803","True","__export__.catalogo_ano_vehiculo_3442","__export__.catalogo_marca_vehiculo_834","__export__.catalogo_modelo_vehiculo_1605","1100CC.","","__export__.catalogo_tipo_vehiculo_9"
"__export__.catalogo_motor_vehiculo_3507","True","__export__.catalogo_ano_vehiculo_3227","__export__.catalogo_marca_vehiculo_722","__export__.catalogo_modelo_vehiculo_1375","1112,  1114","","__export__.catalogo_tipo_vehiculo_11"
"__export__.catalogo_motor_vehiculo_4301","True","__export__.catalogo_ano_vehiculo_3887","__export__.catalogo_marca_vehiculo_848","__export__.catalogo_modelo_vehiculo_1740","1133 6.8 TON.","__export__.product_template_9012","__export__.catalogo_tipo_vehiculo_10"
"__export__.catalogo_motor_vehiculo_487","True","__export__.catalogo_ano_vehiculo_514","__export__.catalogo_marca_vehiculo_611","__export__.catalogo_modelo_vehiculo_1721","1.1 LTS. GASOLINA","__export__.product_template_10879,__export__.product_template_12094,__export__.product_template_9326,__export__.product_template_24620,__export__.product_template_10885","__export__.catalogo_tipo_vehiculo_9"
