Unnamed: 0,Template,Linea,Cuenta,Referencia,Producto,Variante,Clase,Bodega,Cantidad
8559,10491,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00901125,G901 FILTRO COMBUSTIBLE TRACTORES Y UTILITARIOS KUBOTA,125 PF9911,C,Ubicaciones físicas / BD7 / Existencias,3.0
8560,10491,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00901125,G901 FILTRO COMBUSTIBLE TRACTORES Y UTILITARIOS KUBOTA,125 PF9911,C,Ubicaciones físicas / BD1 / Existencias,5.0
8561,10491,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00901125,G901 FILTRO COMBUSTIBLE TRACTORES Y UTILITARIOS KUBOTA,125 PF9911,C,Physical Locations / BD2 / Existencias,1.0
8562,10491,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00901125,G901 FILTRO COMBUSTIBLE TRACTORES Y UTILITARIOS KUBOTA,125 PF9911,C,Ubicaciones físicas / BD5 / Entrada,2.0
8563,10491,Baldwin Combustible Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BCE00901125,G901 FILTRO COMBUSTIBLE TRACTORES Y UTILITARIOS KUBOTA,125 PF9911,C,Ubicaciones físicas / BD9 / Existencias,1.0
8564,10494,Baldwin Aceite Otros,1435050712-COMPRAS FILTROS COMERCIALIZADO,BVJ00200125,GX200 LLAVE PARA FILTROS DE 119 A 131 MM,125 PKG401,C,Physical Locations / BD3 / Existencias,1.0
8565,10494,Baldwin Aceite Otros,1435050712-COMPRAS FILTROS COMERCIALIZADO,BVJ00200125,GX200 LLAVE PARA FILTROS DE 119 A 131 MM,125 PKG401,C,Ubicaciones físicas / BD1 / Existencias,2.0
8566,10495,Baldwin Aceite Otros,1435050712-COMPRAS FILTROS COMERCIALIZADO,BVJ00201125,GX201 LLAVE PARA FILTROS DE 132 A 143 MM,125 PKG402,C,Ubicaciones físicas / BD1 / Existencias,2.0
8567,10495,Baldwin Aceite Otros,1435050712-COMPRAS FILTROS COMERCIALIZADO,BVJ00201125,GX201 LLAVE PARA FILTROS DE 132 A 143 MM,125 PKG402,C,Physical Locations / BD3 / Existencias,1.0
8568,10497,Baldwin Aceite Otros,1435050712-COMPRAS FILTROS COMERCIALIZADO,BVJ00203125,"GX203 CORTA FILTROS DE 3"" 1/2 A 5""",125 PKG406,C,Ubicaciones físicas / BD8 / Existencias,1.0
8569,10497,Baldwin Aceite Otros,1435050712-COMPRAS FILTROS COMERCIALIZADO,BVJ00203125,"GX203 CORTA FILTROS DE 3"" 1/2 A 5""",125 PKG406,C,Ubicaciones físicas / BD6 / Existencias,1.0
8570,10497,Baldwin Aceite Otros,1435050712-COMPRAS FILTROS COMERCIALIZADO,BVJ00203125,"GX203 CORTA FILTROS DE 3"" 1/2 A 5""",125 PKG406,C,Ubicaciones físicas / BD7 / Existencias,1.0
8571,10498,Baldwin Aceite Otros,1435050712-COMPRAS FILTROS COMERCIALIZADO,BVJ00204125,GX204 CUCHILLA CORTA FILTROS PARA GX203,125 PKG406W,C,Ubicaciones físicas / BD1 / Existencias,3.0
8572,10500,Baldwin Aceite Otros,1435050712-COMPRAS FILTROS COMERCIALIZADO,BVJ00210125,GX210 LLAVE PARA SOLTAR FILTROS SELLADOS,125 PKG412,C,Ubicaciones físicas / BD9 / Existencias,3.0
8573,10500,Baldwin Aceite Otros,1435050712-COMPRAS FILTROS COMERCIALIZADO,BVJ00210125,GX210 LLAVE PARA SOLTAR FILTROS SELLADOS,125 PKG412,C,Ubicaciones físicas / BD8 / Existencias,3.0
8574,10501,Baldwin Aceite Elemento,1435050712-COMPRAS FILTROS COMERCIALIZADO,BLE00123125,"G123 FILTRO ACEITE MASSEY FERGUSON,PERKINS,FORD.",125 PT108,C,Ubicaciones físicas / BD1 / Existencias,6.0
8575,10502,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00198125,"G198 FILTRO HIDRAULICO CATERPILLAR, MARVEL",125 PT13910,C,Ubicaciones físicas / BD1 / Existencias,6.0
8576,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Ubicaciones físicas / BD9 / Existencias,24.0
8577,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Ubicaciones físicas / BD8 / Existencias,1.0
8578,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Ubicaciones físicas / BD7 / Existencias,35.0
8579,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Ubicaciones físicas / BD6 / Existencias,31.0
8580,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Ubicaciones físicas / BD24 / Existencias,6.0
8581,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Ubicaciones físicas / BD5 / Entrada,48.0
8582,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Physical Locations / BD5 / Existencias,16.0
8583,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Ubicaciones físicas / BD4 / Existencias,3.0
8584,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Physical Locations / BD3 / Existencias,7.0
8585,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Physical Locations / BD2 / Existencias,5.0
8586,10503,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00009125,G009 FILTRO HIDRAULICO CATERPILLAR 9M9740.,125 PT189,C,Ubicaciones físicas / BD1 / Existencias,183.0
8587,10504,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE10009125,G009A FILTRO HIDRAULICO CATERPILLAR,125 PT189MPG,C,Ubicaciones físicas / BD1 / Existencias,4.0
8588,10504,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE10009125,G009A FILTRO HIDRAULICO CATERPILLAR,125 PT189MPG,C,Physical Locations / BD2 / Existencias,2.0
8589,10504,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE10009125,G009A FILTRO HIDRAULICO CATERPILLAR,125 PT189MPG,C,Ubicaciones físicas / BD7 / Existencias,2.0
8590,10505,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00359125,"G359 FILTRO HIDRAULICO CLARK, SULLAIR",125 PT191,C,Ubicaciones físicas / BD1 / Existencias,3.0
8591,10506,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00054125,"G054 FILTRO HIDRAULICO MAQUINARIA TEREX, EUC",125 PT193,C,Physical Locations / BD5 / Existencias,2.0
8592,10506,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00054125,"G054 FILTRO HIDRAULICO MAQUINARIA TEREX, EUC",125 PT193,C,Physical Locations / BD2 / Existencias,1.0
8593,10506,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00054125,"G054 FILTRO HIDRAULICO MAQUINARIA TEREX, EUC",125 PT193,C,Ubicaciones físicas / BD1 / Existencias,12.0
8594,10507,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00119125,G119 FILTRO HIDRAULICO GRESEN,125 PT207HD,C,Physical Locations / BD5 / Existencias,2.0
8595,10507,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE00119125,G119 FILTRO HIDRAULICO GRESEN,125 PT207HD,C,Ubicaciones físicas / BD9 / Existencias,5.0
8596,10508,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE10119125,"G119A FILTRO HIDRAULICO GRESEN,CAT,J.DEERE,M. FERGUSON",125 PT207HD10,C,Ubicaciones físicas / BD4 / Existencias,2.0
8597,10508,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE10119125,"G119A FILTRO HIDRAULICO GRESEN,CAT,J.DEERE,M. FERGUSON",125 PT207HD10,C,Ubicaciones físicas / BD1 / Existencias,11.0
8598,10508,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE10119125,"G119A FILTRO HIDRAULICO GRESEN,CAT,J.DEERE,M. FERGUSON",125 PT207HD10,C,Ubicaciones físicas / BD9 / Existencias,7.0
8599,10508,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE10119125,"G119A FILTRO HIDRAULICO GRESEN,CAT,J.DEERE,M. FERGUSON",125 PT207HD10,C,Ubicaciones físicas / BD7 / Existencias,1.0
8600,10508,Baldwin Hidráulico Elemento ,1435050712-COMPRAS FILTROS COMERCIALIZADO,BHE10119125,"G119A FILTRO HIDRAULICO GRESEN,CAT,J.DEERE,M. FERGUSON",125 PT207HD10,C,Ubicaciones físicas / BD6 / Existencias,4.0
