,store_name,product_ref,año,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
617,0,BAE09103125,0.0,0,0.0,0.0,0.0,0.0,0.0,36281.0
618,0,BAE09107125,0.0,0,0.0,0.0,0.0,0.0,0.0,58079.52
619,0,BAE09111125,0.0,0,0.0,0.0,0.0,0.0,0.0,54129.01
620,0,BAE09118125,0.0,0,0.0,0.0,0.0,0.0,0.0,176985.82
621,0,BAE09120125,0.0,0,0.0,0.0,0.0,0.0,0.0,312953.75
622,0,BAE09139125,0.0,0,0.0,0.0,0.0,0.0,0.0,130130.85
623,0,BAE09140125,0.0,0,0.0,0.0,0.0,0.0,0.0,202858.37
624,SUCURSAL BARRANQUILLA,BAE09142125,2025.0,37,1.0,0.361798,1.0,0.41,4.0,67005.62
625,0,BAE09143125,0.0,0,0.0,0.0,0.0,0.0,0.0,23726.5
626,0,BAE09153125,0.0,0,0.0,0.0,0.0,0.0,0.0,132208.92
627,0,BAE09167125,0.0,0,0.0,0.0,0.0,0.0,0.0,46322.0
628,0,BAE09172125,0.0,0,0.0,0.0,0.0,0.0,0.0,89252.75
629,0,BAE09201125,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
630,0,BAE09232125,0.0,0,0.0,0.0,0.0,0.0,0.0,73442.0
631,0,BAE10390125,0.0,0,0.0,0.0,0.0,0.0,0.0,17351.0
632,0,BAE10433125,0.0,0,0.0,0.0,0.0,0.0,0.0,51256.93
633,0,BAE12047125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
634,0,BAE12106125,0.0,0,0.0,0.0,0.0,0.0,0.0,36402.93
635,0,BAE12688125,0.0,0,0.0,0.0,0.0,0.0,0.0,55702.79
636,0,BAE13241125,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
637,0,BAE16001125,0.0,0,0.0,0.0,0.0,0.0,0.0,19964.0
638,0,BAE16729125,0.0,0,0.0,0.0,0.0,0.0,0.0,12373.0
639,0,BAE16929125,0.0,0,0.0,0.0,0.0,0.0,0.0,88670.0
640,0,BAE18107125,0.0,0,0.0,0.0,0.0,0.0,0.0,570473.0
641,0,BAE18186125,0.0,0,0.0,0.0,0.0,0.0,0.0,123820.47
642,0,BAE51053125,0.0,0,0.0,0.0,0.0,0.0,0.0,10500.0
