,store_name,product_ref,año,semana_num,EMA,demanda_ajustada,producto_costo_unitario
400195,PRINCIPAL COTA,DAE06651115,2025.0,36,0.0,0.0,3772.05
402931,PRINCIPAL COTA,DAE06786189,2025.0,36,0.0,0.0,5117.76
406750,PRINCIPAL COTA,DAE08142025,2025.0,36,0.0,0.0,36760.07
406978,PRINCIPAL COTA,DAE09001025,2025.0,36,0.0,0.0,41677.76
407320,PRINCIPAL COTA,DAE09048025,2025.0,36,0.0,0.0,26082.02
407662,PRINCIPAL COTA,DAE09142025,2025.0,36,0.0,0.0,10031.0
407776,PRINCIPAL COTA,DAE09155025,2025.0,36,0.0,0.0,25295.26
407947,PRINCIPAL COTA,DAE09194025,2025.0,36,0.0,0.0,26483.73
408346,PRINCIPAL COTA,DAE10976122,2025.0,36,0.0,0.0,9360.0
408745,PRINCIPAL COTA,DAE12574025,2025.0,36,0.0,0.0,33661.24
408859,PRINCIPAL COTA,DAE14190025,2025.0,36,0.0,0.0,8310.72
412051,PRINCIPAL COTA,DAP02988025,2025.0,36,0.0,0.0,69409.47
412507,PRINCIPAL COTA,DAP08109025,2025.0,36,0.0,0.0,20156.95
412849,PRINCIPAL COTA,DAP08175025,2025.0,36,0.0,0.0,136856.74
413077,PRINCIPAL COTA,DAP08203189,2025.0,36,0.0,0.0,29930.27
413362,PRINCIPAL COTA,DAP09046025,2025.0,36,0.0,0.0,9441.73
413419,PRINCIPAL COTA,DAP09109025,2025.0,36,0.0,0.0,6270.0
415699,PRINCIPAL COTA,DAR02139025,2025.0,36,0.0,0.0,61177.5
416497,PRINCIPAL COTA,DAR02239025,2025.0,36,0.0,0.0,52537.85
417010,PRINCIPAL COTA,DAR02304025,2025.0,36,0.0,0.0,47578.62
417124,PRINCIPAL COTA,DAR02315025,2025.0,36,0.0,0.0,65496.9
418036,PRINCIPAL COTA,DAR02513025,2025.0,36,0.0,0.0,82850.5
420886,PRINCIPAL COTA,DAR03068025,2025.0,36,0.0,0.0,35736.56
