,store_name,product_ref,Año,semana,Ema,Costo unitario,Venta costo EMA,Venta costo %,Acumulado costo,Desviacion EMA,Desviacion EMA %,acumulado_cantidad,coef_ventas,acumulado_desviacion,acumulado_desviacion_p,acumulado_combinado,Clasificacion,Nivel de servicio
7568,PRINCIPAL COTA,BCS20375125,2025.0,39,0.313511,78824.21,24712.26,0.0027,0.5929,11367.6,0.46,0.8,6.0,658583.62,1.0,0.74,A,0.98
21261,PRINCIPAL COTA,DAP08231025,2025.0,39,0.311824,17304.0,5395.8,0.0006,0.9185,1942.5,0.36,0.8,4.8,658583.98,1.0,0.84,B,0.95
21076,PRINCIPAL COTA,DAP02988025,2025.0,39,0.31147,69409.47,21618.97,0.0024,0.6336,6918.1,0.32,0.8,4.8,658584.3,1.0,0.75,A,0.98
19091,PRINCIPAL COTA,DAE04304025,2025.0,39,0.310901,25720.4,7996.5,0.0009,0.8711,4078.2,0.51,0.8,6.0,658584.81,1.0,0.82,B,0.95
7212,PRINCIPAL COTA,BCS10076125,2025.0,39,0.30957,23626.76,7314.14,0.0008,0.8863,3583.9,0.49,0.81,8.571428571428571,658585.3,1.0,0.83,B,0.95
4823,PRINCIPAL COTA,BCE00782125,2025.0,39,0.309475,58160.13,17999.11,0.002,0.7009,5399.7,0.3,0.81,5.142857142857142,658585.6,1.0,0.78,A,0.98
12607,PRINCIPAL COTA,BLS10021125,2025.0,39,0.307189,23898.03,7341.21,0.0008,0.8839,4257.9,0.58,0.81,6.0,658586.18,1.0,0.83,B,0.95
18625,PRINCIPAL COTA,DAE02983025,2025.0,39,0.303426,10686.95,3242.7,0.0004,0.96,10441.5,3.22,0.81,6.0,658589.4,1.0,0.86,B,0.95
5585,PRINCIPAL COTA,BCS00104125,2025.0,39,0.300414,31841.29,9565.57,0.0011,0.8439,4878.4,0.51,0.81,6.0,658589.91,1.0,0.82,B,0.95
15741,PRINCIPAL COTA,DAB12852025,2025.0,39,0.296616,23425.45,6948.36,0.0008,0.8927,5211.3,0.75,0.81,8.0,658590.66,1.0,0.83,B,0.95
27646,PRINCIPAL COTA,DLE01003189,2025.0,39,0.295149,6809.0,2009.67,0.0002,0.9796,964.6,0.48,0.81,6.0,658591.14,1.0,0.86,B,0.95
6635,PRINCIPAL COTA,BCS00568125,2025.0,39,0.293454,44758.02,13134.42,0.0014,0.7825,3283.6,0.25,0.81,3.0,658591.39,0.8,0.8,B,0.95
4815,PRINCIPAL COTA,BCE00781125,2025.0,39,0.292799,59676.36,17473.18,0.0019,0.7123,6290.3,0.36,0.81,6.0,658591.75,1.0,0.78,A,0.98
13155,PRINCIPAL COTA,DAB02524025,2025.0,39,0.292287,52099.04,15227.87,0.0017,0.7427,5329.8,0.35,0.82,6.0,658592.1,1.0,0.8,B,0.95
6747,PRINCIPAL COTA,BCS00603125,2025.0,39,0.289837,68800.57,19940.95,0.0022,0.6655,13360.4,0.67,0.82,12.0,658592.77,1.0,0.77,A,0.98
13436,PRINCIPAL COTA,DAB02856025,2025.0,39,0.288157,26249.95,7564.11,0.0008,0.8815,2042.3,0.27,0.82,3.4285714285714284,658593.04,1.0,0.84,B,0.95
9590,PRINCIPAL COTA,BHS00409125,2025.0,39,0.288,184944.82,53264.11,0.0059,0.3614,47405.1,0.89,0.82,12.0,658593.93,1.0,0.68,A,0.98
21706,PRINCIPAL COTA,DAR02239025,2025.0,39,0.288,54695.67,15752.35,0.0017,0.7376,10869.1,0.69,0.82,6.0,658594.62,1.0,0.8,B,0.95
21342,PRINCIPAL COTA,DAR02006025,2025.0,39,0.280264,24672.45,6914.8,0.0008,0.8951,14313.6,2.07,0.82,12.0,658596.69,1.0,0.84,B,0.95
12062,PRINCIPAL COTA,BLS00490125,2025.0,39,0.2797,62962.28,17610.55,0.0019,0.7047,4226.5,0.24,0.82,4.0,658596.93,1.0,0.78,A,0.98
5843,PRINCIPAL COTA,BCS00257125,2025.0,39,0.273873,48740.6,13348.73,0.0015,0.7706,10812.5,0.81,0.82,12.0,658597.74,1.0,0.8,B,0.95
