,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
114,SUCURSAL BARRANQUILLA,AHG80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,82650.48
115,SUCURSAL BUCARAMANGA,AHG80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,82650.48
116,SUCURSAL CALI,AHG80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,82650.48
117,SUCURSAL CALLE 6,AHG80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,82650.48
118,SUCURSAL MEDELLIN,AHG80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,82650.48
119,SUCURSAL NORTE,AHG80W90030,2025.0,2025-09-09 00:00:00,37,0.0,8.1e-05,0.0,348.67,0.0,82650.48
120,SUCURSAL VALLADOLID,AHG80W90030,2025.0,2025-09-09 00:00:00,37,0.0,0.035184,0.0,151083.12,0.0,82650.48
121,PRINCIPAL COTA,AHG80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.021743,0.0,0.75,12.0,85951.89
122,SUCURSAL BARRANQUILLA,AHG80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,85951.89
123,SUCURSAL BUCARAMANGA,AHG80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,85951.89
124,SUCURSAL CALI,AHG80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,85951.89
125,SUCURSAL CALLE 6,AHG80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.001606,0.0,6894.23,0.0,85951.89
126,SUCURSAL MEDELLIN,AHG80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,85951.89
127,SUCURSAL NORTE,AHG80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.000114,0.0,457.08,0.0,85951.89
128,SUCURSAL VALLADOLID,AHG80W90050,2025.0,2025-09-09 00:00:00,37,0.0,0.000184,0.0,792.49,0.0,85951.89
129,PRINCIPAL COTA,AHG85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92209.36
130,SUCURSAL BARRANQUILLA,AHG85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92209.36
131,SUCURSAL BUCARAMANGA,AHG85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92209.36
132,SUCURSAL CALI,AHG85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92209.36
133,SUCURSAL CALLE 6,AHG85W14030,2025.0,2025-09-09 00:00:00,37,0.0,8e-06,0.0,33.05,0.0,92209.36
134,SUCURSAL MEDELLIN,AHG85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92209.36
135,SUCURSAL NORTE,AHG85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,92209.36
136,SUCURSAL VALLADOLID,AHG85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.000387,0.0,1660.73,0.0,92209.36
