,store_name,product_ref,año,semana_num,EMA,demanda_ajustada,producto_costo_unitario
129317,MOSTRADOR COTA,DAE01019136,2025.0,36,0.2,1.0,12723.15
131755,MOSTRADOR COTA,DAE01072189,2025.0,36,2.540356,12.0,4911.54
134140,MOSTRADOR COTA,DAE01122189,2025.0,36,5.01218,24.0,6473.08
135253,MOSTRADOR COTA,DAE01142189,2025.0,36,0.2,1.0,7363.47
138168,MOSTRADOR COTA,DAE02548025,2025.0,36,0.2,1.0,40706.72
139387,MOSTRADOR COTA,DAE02983025,2025.0,36,0.726071,1.0,10565.22
140606,MOSTRADOR COTA,DAE04066025,2025.0,36,1.025317,2.0,13494.34
141613,MOSTRADOR COTA,DAE04142025,2025.0,36,0.200008,1.0,17875.14
142991,MOSTRADOR COTA,DAE04304025,2025.0,36,0.603736,2.0,25720.4
144422,MOSTRADOR COTA,DAE04524025,2025.0,36,0.321032,1.0,19428.64
144846,MOSTRADOR COTA,DAE04653025,2025.0,36,0.218628,1.0,25023.21
157513,MOSTRADOR COTA,DAE08142025,2025.0,36,0.32803,1.0,36760.07
157990,MOSTRADOR COTA,DAE09045025,2025.0,36,0.20006,1.0,28146.09
158361,MOSTRADOR COTA,DAE09142025,2025.0,36,0.2,1.0,10031.0
162389,MOSTRADOR COTA,DAP02020025,2025.0,36,1.361591,2.0,25852.39
162442,MOSTRADOR COTA,DAP02988025,2025.0,36,0.65198,1.0,69409.47
162548,MOSTRADOR COTA,DAP04020025,2025.0,36,1.289019,2.0,7625.26
163555,MOSTRADOR COTA,DAP08231025,2025.0,36,0.580398,1.0,17304.0
164244,MOSTRADOR COTA,DAR02017025,2025.0,36,0.600029,3.0,21859.54
165940,MOSTRADOR COTA,DAR02142025,2025.0,36,0.2,1.0,33342.68
166788,MOSTRADOR COTA,DAR02265025,2025.0,36,1.55412,1.0,42286.93
167053,MOSTRADOR COTA,DAR02304025,2025.0,36,0.886227,3.0,47578.62
167848,MOSTRADOR COTA,DAR02450025,2025.0,36,0.898478,1.0,57714.77
169120,MOSTRADOR COTA,DAR02708025,2025.0,36,2.687371,2.0,37002.06
170551,MOSTRADOR COTA,DAR03066025,2025.0,36,1.638089,1.0,19283.91
170710,MOSTRADOR COTA,DAR03069025,2025.0,36,0.240493,1.0,23917.16
171081,MOSTRADOR COTA,DAR03114025,2025.0,36,0.408264,2.0,35975.28
173201,MOSTRADOR COTA,DAR08045025,2025.0,36,0.20006,1.0,42266.94
173307,MOSTRADOR COTA,DAR08049025,2025.0,36,0.329461,1.0,32481.15
180356,MOSTRADOR COTA,DCE00126138,2025.0,36,0.2,1.0,25586.3
181204,MOSTRADOR COTA,DCE00390137,2025.0,36,1.030267,3.0,31858.76
184967,MOSTRADOR COTA,DCE00537189,2025.0,36,0.2,1.0,8518.74
186345,MOSTRADOR COTA,DCE00580189,2025.0,36,3.54255,2.0,6436.7
188200,MOSTRADOR COTA,DCE00662189,2025.0,36,3.239433,8.0,4345.67
190002,MOSTRADOR COTA,DCE00833189,2025.0,36,72.091981,335.0,6048.61
192493,MOSTRADOR COTA,DCE01002137,2025.0,36,1.087632,3.0,25822.25
192546,MOSTRADOR COTA,DCE01004189,2025.0,36,0.620663,1.0,10143.0
193447,MOSTRADOR COTA,DCE10126137,2025.0,36,0.615712,2.0,28845.97
194295,MOSTRADOR COTA,DCE20126138,2025.0,36,0.251524,1.0,39042.81
194348,MOSTRADOR COTA,DCE20128138,2025.0,36,0.20189,1.0,34260.63
195143,MOSTRADOR COTA,DCS00060189,2025.0,36,4.385106,2.0,5276.25
197369,MOSTRADOR COTA,DCS00331189,2025.0,36,0.402669,2.0,7124.0
197740,MOSTRADOR COTA,DCS00342189,2025.0,36,6.854882,9.0,9595.17
197952,MOSTRADOR COTA,DCS00343189,2025.0,36,0.802921,2.0,10487.92
198906,MOSTRADOR COTA,DCS00539137,2025.0,36,0.230838,1.0,63403.22
199118,MOSTRADOR COTA,DCS00540189,2025.0,36,6.408389,12.0,19455.22
199542,MOSTRADOR COTA,DCS00679004,2025.0,36,3.058903,10.0,25000.0
200708,MOSTRADOR COTA,DCS00759137,2025.0,36,0.407128,2.0,83193.0
213799,MOSTRADOR COTA,DLE01003189,2025.0,36,0.587109,1.0,6809.0
214117,MOSTRADOR COTA,DLE01323189,2025.0,36,1.211732,2.0,5487.0
214541,MOSTRADOR COTA,DLS00024189,2025.0,36,0.442989,2.0,8452.28
215707,MOSTRADOR COTA,DLS00136189,2025.0,36,4.509554,2.0,20060.94
217032,MOSTRADOR COTA,DLS00268189,2025.0,36,1.34685,4.0,7749.28
217138,MOSTRADOR COTA,DLS00278189,2025.0,36,0.712286,3.0,6794.65
217456,MOSTRADOR COTA,DLS00296189,2025.0,36,36.585234,96.0,12645.75
218304,MOSTRADOR COTA,DLS00738189,2025.0,36,0.348264,1.0,9584.5
221590,PRINCIPAL COTA,ALG10W30030,2025.0,36,0.0,0.0,118284.15
222438,PRINCIPAL COTA,ALQ110W3030,2025.0,36,0.0,0.0,22885.48
223127,PRINCIPAL COTA,BAB02013125,2025.0,36,0.0,0.0,229597.7
223604,PRINCIPAL COTA,BAB02570125,2025.0,36,0.0,0.0,27728.35
