,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,lost_sales,producto_costo_unitario
55,SUCURSAL BARRANQUILLA,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
56,SUCURSAL BUCARAMANGA,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
57,SUCURSAL CALI,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
58,SUCURSAL CALLE 6,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.016275,0.0,1.34,23.0,0.0,469317.32
59,SUCURSAL MEDELLIN,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
60,SUCURSAL NORTE,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
61,SUCURSAL VALLADOLID,AHB85W14050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,469317.32
62,PRINCIPAL COTA,AHB85W14052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,314317.66
63,SUCURSAL BARRANQUILLA,AHB85W14052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,314317.66
64,SUCURSAL BUCARAMANGA,AHB85W14052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,314317.66
65,SUCURSAL CALI,AHB85W14052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,314317.66
66,SUCURSAL CALLE 6,AHB85W14052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,314317.66
67,SUCURSAL MEDELLIN,AHB85W14052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,314317.66
68,SUCURSAL NORTE,AHB85W14052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,314317.66
69,SUCURSAL VALLADOLID,AHB85W14052,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,314317.66
70,PRINCIPAL COTA,AHBNTO68030,2025.0,2025-09-23 00:00:00,39,0.0,0.169033,0.0,1.3,23.0,0.0,342303.92
71,SUCURSAL BARRANQUILLA,AHBNTO68030,2025.0,2025-09-23 00:00:00,39,0.0,0.047538,0.0,0.61,4.6000000000000005,0.0,342303.92
72,SUCURSAL BUCARAMANGA,AHBNTO68030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,342303.92
73,SUCURSAL CALI,AHBNTO68030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,342303.92
74,SUCURSAL CALLE 6,AHBNTO68030,2025.0,2025-09-23 00:00:00,39,0.0,0.131247,0.0,0.62,9.200000000000001,0.0,342303.92
75,SUCURSAL MEDELLIN,AHBNTO68030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,342303.92
76,SUCURSAL NORTE,AHBNTO68030,2025.0,2025-09-23 00:00:00,39,0.0,0.25969,0.0,0.65,7.666666666666667,0.0,342303.92
77,SUCURSAL VALLADOLID,AHBNTO68030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,4.0,342303.92
78,PRINCIPAL COTA,AHG80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,82650.48
79,SUCURSAL BARRANQUILLA,AHG80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,82650.48
80,SUCURSAL BUCARAMANGA,AHG80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,82650.48
81,SUCURSAL CALI,AHG80W90030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,82650.48
